name,location,min_price,max_price,min_bedrooms,max_bedrooms,property_type
Zayed Dunes Phase 4,Tagamoa,2100000,4640000,3,3,studio
Mountain View Hyde Park Phase 4,Sheikh Zayed,2170000,5910000,2,2,apartment
New Giza Phase 2,Maadi,3470000,5390000,2,2,villa
The Address East Phase 4,Zamalek,2170000,5380000,3,4,penthouse
New Giza Phase 4,6th of October,2760000,5570000,3,5,penthouse
Palm Hills New Cairo Phase 1,6th of October,2009999,5290000,3,3,villa
Sky Condos Phase 3,El Shorouk,1520000,5000000,1,2,villa
Midtown Solo Phase 4,Heliopolis,1860000,4490000,3,4,duplex
Badya Phase 4,Sheikh Zayed,3200000,4810000,1,3,studio
Palm Hills New Cairo Phase 5,El Rehab,2240000,4390000,3,5,apartment
